variable,current_value,test_min,test_max,status,rationale,broken_if,measurement
Player HP,6,4,8,PLACEHOLDER,"five-enemy pressure with multiple recoverable mistakes","fresh tester cannot finish within 5 attempts or never feels threatened","deaths,attempts,remaining HP"
Enemy Damage,1,1,2,PLACEHOLDER,"simple readable six-hit budget","death cause is unclear or damage is ignorable","hits before death,death explanation"
Enemy Count,5,3,7,PLACEHOLDER,"current layout exposes all three archetypes without stress-matrix density","onboarding fails from simultaneous pressure or low density removes crossfire choices","concurrent attackers,completion attempts,unused arena area"
Room Width,16,14,20,PLACEHOLDER,"current 16:9 world width gives long-line attacks room to cross","kiting becomes trivial or telegraphs cannot be escaped","crossing time,wall-adjacent hits,unused area"
Room Height,9,8,12,PLACEHOLDER,"current 16:9 world height preserves display/world mapping","vertical lanes collapse or excessive empty travel appears","lane separation,wall-adjacent hits,unused area"
Paper Tick Duration,0.25,0.1,0.5,PLACEHOLDER,"quarter-second paper steps expose warning and movement decisions without excessive bookkeeping","one tick skips an attack phase or simulation takes too long to run","paper turns per encounter,skipped state transitions"
Dasher HP,12,8,16,PLACEHOLDER,"requires repeated crossfire setup while keeping the charger readable as durable","single accidental hit kills it or repeated setups become tedious","friendly-fire hits to kill,time to kill"
Archer HP,8,5,12,PLACEHOLDER,"lower durability rewards redirecting a readable ranged threat","archer dies before demonstrating a shot or survives too many setups","shots observed,hits to kill,time to kill"
Minion HP,5,3,8,PLACEHOLDER,"small enemy should convert early crossfire success into a soul","incidental damage trivializes every minion or early progress stalls","hits to kill,time to first soul"
Dasher Engagement Range,8,6,10,PLACEHOLDER,"initial five-enemy layout keeps the player inside a readable charge-engagement envelope","Dasher never attacks from its lane or engages from nearly the whole room","engagement starts by distance,charge opportunities"
Dasher Walk Speed,1,0.7,1.3,PLACEHOLDER,"idle-to-walk readability without changing the independent charge speed","Dasher appears to slide or ordinary correction becomes charge-like","walk displacement,locomotion-state duration"
Dasher Run Speed,1.5,1.2,1.8,PLACEHOLDER,"maintains a visible two-speed ratio while charge still uses Charge Speed","walk and run are visually indistinguishable or runtime cadence drifts","run displacement,walk-to-run ratio"
Archer Walk Speed,0.5,0.35,0.7,PLACEHOLDER,"slow in-engagement correction keeps ranged alignment readable","Archer cannot correct spacing or slides too quickly during warning","distance error over time,warning-path displacement"
Archer Run Speed,0.75,0.55,1.1,PLACEHOLDER,"far chase and unsafe retreat remain distinct from fine correction","far chase stalls or retreat becomes visually indistinguishable from walk","chase-to-range time,retreat-to-safe-band time"
Archer Engagement Range,10,8,12,PLACEHOLDER,"covers most lanes without granting full-diagonal omnipresence","Archer remains idle in intended lanes or attacks from every corner","engagement starts by distance,shots per minute"
Archer Preferred Distance,4,3,6,PLACEHOLDER,"creates a mid-range crossfire lane instead of point-blank orbiting","Archer crowds the player or retreats beyond useful alignment","distance distribution,crossfire opportunities"
Archer Distance Tolerance,0.05,0.03,0.15,PLACEHOLDER,"deadband hypothesis for reducing preferred-distance reversals without changing runtime full-step motion","Archer visibly oscillates across the band or accepts tactically meaningless spacing","direction reversals,distance error"
Minion Walk Speed,0.8333333,0.6,1.05,PLACEHOLDER,"reserves a readable lower-speed contract for explicit walk branches","walk and run cannot be distinguished or spacing correction is abrupt","walk displacement,walk-to-run ratio"
Minion Run Speed,1.25,0.9,1.6,PLACEHOLDER,"lets close-range pressure arrive after a readable run approach","Minion never reaches attack range or collapses spacing before a decision","time to attack range,route changes"
Minion Attack Range,1,0.75,1.5,PLACEHOLDER,"requires close approach before circle warning begins","Minion attacks from visually distant positions or must overlap the player","warning-start distance,edge-hit disputes"
Dasher Attack Cooldown,3,2,4,PLACEHOLDER,"leaves a reposition window after a high-commitment lane attack","constant charges remove planning or long idle gaps appear","attacks per minute,idle time,avoidable rate"
Archer Attack Cooldown,3.5,2.5,5,PLACEHOLDER,"offsets ranged reach with a longer setup cadence","projectiles saturate the room or ranged pressure disappears","shots per minute,simultaneous telegraphs"
Minion Attack Cooldown,4,2.5,5,PLACEHOLDER,"keeps close-range circles as periodic space denial rather than contact damage","circles chain-lock the player or never affect routing","circles per minute,route changes"
Dasher Line Length,8,6,10,PLACEHOLDER,"crosses a meaningful arena lane without covering the full diagonal","charge cannot reach another enemy or every lock covers the room","crossfire opportunities,player hit rate"
Dasher Line Width,0.7,0.5,1,PLACEHOLDER,"visible collision lane allows deliberate baiting","near misses feel false or the lane becomes unavoidable","edge-hit disputes,dodge rate"
Archer Line Length,10,8,12,PLACEHOLDER,"ranged attack should create long crossfire opportunities","archer must stand too close or threatens every position","crossfire opportunities,dodge distance"
Archer Line Width,0.35,0.25,0.6,PLACEHOLDER,"narrow projectile rewards precise alignment","hits feel pixel-exact or projectile becomes a wall","edge-hit disputes,dodge rate"
Minion Attack Width,0.5,0.35,1.4,PLACEHOLDER,"the upper test range crosses base attack range so width can independently increase the max-derived circle radius","width never changes derived radius or broad circles erase local routing choices","derived radius,edge-hit disputes,player hit rate"
Dasher Charge Speed,10,8,12,PLACEHOLDER,"fast execution contrasts with readable warning","charge feels sluggish or cannot be reacted to after lock","travel time,dodge rate"
Archer Projectile Speed,9,7,12,PLACEHOLDER,"projectile remains trackable across the room","shot is trivial to sidestep or visually unavoidable","travel time,dodge rate"
Dasher Recovery,0.4,0.3,0.7,PLACEHOLDER,"high-commitment charge exposes a short reposition window","charger immediately chains pressure or feels inert","post-attack safe window,attacks per minute"
Archer Recovery,0.35,0.25,0.6,PLACEHOLDER,"brief reload beat communicates attack completion","shots visually blur together or pacing stalls","reload recognition,shots per minute"
Minion Recovery,0.35,0.25,0.6,PLACEHOLDER,"brief close-range recovery keeps circle pressure legible","contact pressure feels continuous or minion idles","recovery recognition,circles per minute"
Minion Execute Duration,0.25,0.25,0.25,PLACEHOLDER,"logic-owned window exposes all six 24fps Execute frames without animation authority","frames clip early or gameplay waits on animation data","distinct execute frames,execute elapsed time"
Minion Judgment Eligibility Anchor,"judgment+recovery+cooldown",NA,NA,PLACEHOLDER,"absolute eligibility preserves the pre-v002 judgment cadence","the visual execute window adds 0.25 seconds to the next warning or judgment","judgment-to-next-warning,judgment-to-next-judgment,plain-vs-Haste delta"
Player Move Speed,5,4,6,PLACEHOLDER,"cross-room reposition without trivial kiting","cannot leave telegraph or enemies never threaten","time to cross room,hit rate"
Player Collision Radius,0.38,0.3,0.5,PLACEHOLDER,"matches the current player trigger footprint while keeping lane edges readable","visual near-misses collide or the player passes through obvious hazards","edge-hit disputes,collision overlap rate"
Dash Distance,3.5,2.5,4.5,PLACEHOLDER,"clear emergency displacement within 16x9 bounds","one dash trivializes every lane or fails to clear one","dash escape success rate"
Dash Duration,0.18,0.14,0.24,PLACEHOLDER,"snappy action with visible travel","teleport feel or sluggish loss of control","subjective feel,travel frames"
Dash Invulnerability,0.22,0.16,0.28,PLACEHOLDER,"slightly exceeds movement duration","post-dash unfair hit or broad immunity abuse","hit timing around dash"
Dash Cooldown,1.2,0.8,1.6,PLACEHOLDER,"intended positioning-pressure hypothesis; cooldown exceeds one warning","waiting replaces decisions or dash answers every attack","dash readiness/usage per attack or full encounter attack cadence"
Selection Time Scale,0.2,0.15,0.35,PLACEHOLDER,"build-only planning-window feel lever; paper selections are instantaneous and do not advance timers","selection feels unsafe or removes all tension in the playable build","selection duration,cancel rate"
Blessing Slot Return,0.5,0.3,0.8,PLACEHOLDER,"death feedback resolves before reuse","dead time frustrates or instant reuse hides causality","time to next blessing"
Haste Move Multiplier,1.5,1.25,1.6,PLACEHOLDER,"visibly changes threat pathing","player cannot read target or effect feels cosmetic","Haste target hit rate"
Haste Attack Speed Multiplier,1.35,1.15,1.5,PLACEHOLDER,"increases opportunity and danger","warning cadence becomes unreadable","attacks per minute,avoidable rate"
Haste Cooldown Multiplier,0.75,0.65,0.9,PLACEHOLDER,"25 percent shorter cooldown","dominates Giant or has no perceived impact","selection share,attacks per minute"
Haste Projectile Multiplier,1.35,1.15,1.5,PLACEHOLDER,"clear Archer transformation","projectile becomes unavoidable","dodge success by distance"
Giant Scale Multiplier,1.35,1.2,1.5,PLACEHOLDER,"immediate readable silhouette change","wall trapping or overlap dominates","stuck events,recognition"
Giant HP Multiplier,1.75,1.4,2.0,PLACEHOLDER,"more setup cost for larger opportunity","TTK becomes tedious or buff is free upside","time to kill,attempt duration"
Giant Range Multiplier,1.4,1.2,1.6,PLACEHOLDER,"widens friendly-fire opportunity and danger","whole room becomes unsafe","friendly-fire success,player hit rate"
Giant Mass Multiplier,1.5,1.2,1.8,PLACEHOLDER,"physical weight matches scale","movement/collision loses responsiveness","stuck events,separation time"
Souls Required,3,2,4,PLACEHOLDER,"three demonstrations before exit","session ends before mastery or becomes repetitive","time to exit,repeat strategy count"
Soul Pickup Radius,0.28,0.2,0.4,PLACEHOLDER,"combines with player radius for a forgiving but local pickup trigger","visible contact fails to collect or souls collect from unrelated lanes","pickup distance,missed visible overlaps"
Exit Trigger Half Width,0.5,0.4,0.75,PLACEHOLDER,"current one-unit gate width supports an explicit segment-overlap finish rule","exit looks entered without success or opens a broad accidental finish zone","entry overlap distance,false entry reports"
Exit Trigger Half Height,0.5,0.4,0.75,PLACEHOLDER,"current one-unit gate height matches the visual pedestal footprint","vertical pass-by fails visually or triggers from a distant lane","entry overlap distance,false entry reports"
Dasher Warning,0.75,0.6,1.0,PLACEHOLDER,"readable lane setup","fresh tester cannot identify lock","dodge and recognition rate"
Archer Warning,0.7,0.55,1.0,PLACEHOLDER,"readable ranged setup","projectile feels untelegraphed","dodge and recognition rate"
Minion Warning,0.75,0.6,1.0,PLACEHOLDER,"close-range circle anticipation","melee damage feels contact-based","circle recognition rate"
Minimum Warning Duration,0.55,0.55,0.55,ACCEPTANCE,"fixed readability floor after Haste scaling, matching the runtime state-machine contract","any Haste warning resolves below 0.55 seconds","minimum observed Warning duration"
Performance Floor FPS,45,45,60,ACCEPTANCE,"fixed evidence acceptance floor, not gameplay tuning","브라우저 매트릭스 각 셀에서 반열린 [t, t+1초) 1초 버킷 60개 중 하나라도 45 FPS 미만","브라우저 매트릭스 각 셀에서 반열린 [t, t+1초) 1초 버킷 60개 각각 45 FPS 이상"
